"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","592","13","13"
"1","593","13","14"
"1","594","13","13"
"1","595","13","13"
"1","596","13","13"
"1","597","13","13"
"1","598","13","14"
"1","599","13","13"
"1","600","13","13"
"1","601","13","13"
"1","602","13","13"
"1","603","13","13"
"1","604","13","13"
"1","605","13","13"
"1","606","13","13"
"1","607","13","13"
"1","608","13","13"
"1","609","13","13"
"1","610","13","13"
"1","611","12","14"
"1","612","12","14"
"1","613","12","14"
"1","614","12","14"
"1","615","12","13"
"1","616","12","14"
"1","617","12","14"
"1","618","12","13"
"1","619","12","14"
"1","620","12","14"
"1","621","12","14"
"1","622","13","14"
"1","623","13","14"
"1","624","12","14"
"1","625","12","14"
"1","626","12","13"
"1","627","12","14"
"1","628","12","14"
"1","629","12","13"
"1","630","12","14"
"1","631","12","14"
"1","632","12","14"
"1","633","12","14"
"1","634","12","14"
"1","635","12","14"
"1","636","12","14"
"1","637","12","14"
"1","638","12","14"
"1","639","12","14"
"1","640","12","14"
"1","641","12","14"
"1","642","13","14"
"1","643","13","14"
"1","644","13","13"
"1","645","13","13"
"1","646","13","13"
"1","647","13","13"
"1","648","13","14"
"1","649","13","14"
"1","650","13","14"
"1","651","13","14"
"1","652","13","14"
"1","653","13","14"
"1","654","13","14"
"1","655","12","14"
"1","656","12","14"
"1","657","12","14"
"1","658","12","14"
"1","659","12","14"
"1","660","12","14"
"1","661","12","14"
"1","662","13","14"
"1","663","13","14"
"1","664","13","14"
"1","665","13","14"
"1","666","13","14"
"1","667","13","14"
"1","668","13","14"
"1","669","13","15"
"1","670","13","15"
"1","671","13","15"
"1","672","13","15"
"1","673","13","15"
"1","674","13","15"
"1","675","13","15"
"1","676","13","15"
"1","677","13","15"
"1","678","13","15"
"1","679","13","15"
"1","680","13","15"
"1","681","13","15"
"1","682","13","15"
"1","683","13","16"
"1","684","13","16"
"1","685","13","16"
"1","686","13","16"
"1","687","13","16"
"1","688","13","16"
"1","689","13","16"
"1","690","13","16"
"1","691","13","17"
"1","692","14","17"
"1","693","14","17"
"1","694","14","17"
"1","695","14","17"
"1","696","14","17"
"1","697","13","17"
"1","698","14","17"
"1","699","13","17"
"1","700","14","17"
"1","701","13","17"
"1","702","14","17"
"1","703","14","17"
"1","704","14","17"
"1","705","14","17"
"1","706","14","17"
"1","707","14","17"
"1","708","14","17"
"1","709","14","17"
"1","710","14","17"
"1","711","14","17"
"1","712","14","17"
"1","713","14","17"
"1","714","14","17"
