"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 3 - caotico - random walk.nlogo"
"chaotic_walk"
"02/10/2025 20:53:00:300 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","782","14","14"
"1","783","15","14"
"1","784","14","14"
"1","785","15","14"
"1","786","15","14"
"1","787","15","14"
"1","788","15","14"
"1","789","15","13"
"1","790","14","13"
"1","791","14","13"
"1","792","15","13"
"1","793","14","13"
"1","794","15","13"
"1","795","15","13"
"1","796","15","13"
"1","797","15","13"
"1","798","15","13"
"1","799","15","13"
"1","800","15","13"
"1","801","15","13"
"1","802","15","13"
"1","803","15","13"
"1","804","15","13"
"1","805","15","13"
"1","806","15","13"
"1","807","15","13"
"1","808","15","13"
"1","809","15","13"
"1","810","15","13"
"1","811","15","13"
"1","812","15","13"
"1","813","16","13"
"1","814","16","13"
"1","815","15","13"
"1","816","15","13"
"1","817","15","13"
"1","818","15","13"
"1","819","15","13"
"1","820","15","13"
"1","821","15","13"
"1","822","15","13"
"1","823","15","13"
"1","824","15","13"
"1","825","15","13"
"1","826","15","13"
"1","827","15","13"
"1","828","15","13"
"1","829","15","13"
"1","830","15","13"
"1","831","15","13"
"1","832","15","13"
"1","833","16","13"
"1","834","16","13"
"1","835","16","13"
"1","836","16","13"
"1","837","15","13"
"1","838","16","13"
"1","839","15","13"
"1","840","16","13"
"1","841","15","13"
"1","842","16","13"
"1","843","16","13"
"1","844","16","13"
"1","845","16","13"
"1","846","16","13"
"1","847","16","13"
"1","848","16","14"
"1","849","16","14"
"1","850","16","13"
"1","851","16","13"
"1","852","16","13"
"1","853","16","13"
"1","854","16","13"
"1","855","15","13"
"1","856","15","13"
"1","857","15","13"
"1","858","15","13"
"1","859","15","13"
"1","860","16","13"
"1","861","16","13"
"1","862","16","13"
"1","863","16","13"
"1","864","15","13"
"1","865","15","13"
"1","866","15","13"
"1","867","15","13"
"1","868","15","13"
"1","869","15","13"
"1","870","15","13"
"1","871","15","13"
"1","872","15","13"
"1","873","15","13"
"1","874","15","13"
"1","875","15","13"
"1","876","15","13"
"1","877","15","13"
"1","878","15","13"
"1","879","15","13"
"1","880","15","13"
"1","881","15","13"
"1","882","15","13"
"1","883","15","13"
"1","884","15","13"
"1","885","15","13"
"1","886","15","13"
"1","887","15","13"
"1","888","15","13"
"1","889","15","13"
"1","890","15","13"
"1","891","15","13"
"1","892","15","13"
"1","893","15","13"
"1","894","15","13"
"1","895","15","13"
"1","896","15","13"
"1","897","15","13"
"1","898","15","13"
"1","899","15","13"
"1","900","15","14"
"1","901","15","14"
"1","902","15","14"
"1","903","15","14"
"1","904","15","13"
"1","905","15","14"
"1","906","15","14"
"1","907","15","13"
"1","908","15","13"
"1","909","15","13"
"1","910","15","13"
"1","911","15","13"
"1","912","15","13"
"1","913","15","13"
"1","914","14","13"
"1","915","15","13"
"1","916","14","13"
"1","917","15","13"
"1","918","15","13"
"1","919","15","13"
"1","920","15","13"
"1","921","15","13"
"1","922","15","13"
"1","923","15","13"
"1","924","15","13"
"1","925","15","14"
"1","926","15","14"
"1","927","15","14"
"1","928","15","14"
